ASD UPWINS base_fname,comment,datetime_readable,category,sub-category,genus,species,principal_part,growth_stage,health,location,DateTimeUniqueIdentifier,Instrument #,ASD base_fname
UPWINS_vegetation_pasturegrass_Morven_20230327_152705.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:27:05,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152705,18820,vegetation_pasturegrass_100000.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152707.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:27:07,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152707,18820,vegetation_pasturegrass_100001.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152710.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:27:10,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152710,18820,vegetation_pasturegrass_100002.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152713.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:27:13,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152713,18820,vegetation_pasturegrass_100003.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152716.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:27:16,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152716,18820,vegetation_pasturegrass_100004.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152750.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:27:50,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152750,18820,vegetation_pasturegrass_100005.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152753.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:27:53,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152753,18820,vegetation_pasturegrass_100006.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152756.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:27:56,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152756,18820,vegetation_pasturegrass_100007.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152758.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:27:58,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152758,18820,vegetation_pasturegrass_100008.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152800.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:28:00,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152800,18820,vegetation_pasturegrass_100009.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152840.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:28:40,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152840,18820,vegetation_pasturegrassFL_100000.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152842.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:28:42,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152842,18820,vegetation_pasturegrassFL_100001.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152844.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:28:44,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152844,18820,vegetation_pasturegrassFL_100002.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152846.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:28:46,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152846,18820,vegetation_pasturegrassFL_100003.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152849.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:28:49,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152849,18820,vegetation_pasturegrassFL_100004.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152905.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:29:05,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152905,18820,vegetation_pasturegrassFL_100005.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152907.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:29:07,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152907,18820,vegetation_pasturegrassFL_100006.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152909.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:29:09,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152909,18820,vegetation_pasturegrassFL_100007.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152911.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:29:11,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152911,18820,vegetation_pasturegrassFL_100008.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_152913.asd,"March 27 2023, pasture grass, morven",2023-03-27 15:29:13,vegetation,pasturegrass,NA,NA,NA,NA,NA,Morven,20230327_152913,18820,vegetation_pasturegrassFL_100009.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_153022.asd,"March 27 2023, pasture flower, morven",2023-03-27 15:30:22,vegetation,pasturegrass,NA,NA,FL,NA,NA,Morven,20230327_153022,18820,vegetation_pasturegrassPF_100000.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_153024.asd,"March 27 2023, pasture flower, morven",2023-03-27 15:30:24,vegetation,pasturegrass,NA,NA,FL,NA,NA,Morven,20230327_153024,18820,vegetation_pasturegrassPF_100001.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_153027.asd,"March 27 2023, pasture flower, morven",2023-03-27 15:30:27,vegetation,pasturegrass,NA,NA,FL,NA,NA,Morven,20230327_153027,18820,vegetation_pasturegrassPF_100002.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_153029.asd,"March 27 2023, pasture flower, morven",2023-03-27 15:30:29,vegetation,pasturegrass,NA,NA,FL,NA,NA,Morven,20230327_153029,18820,vegetation_pasturegrassPF_100003.asd
UPWINS_vegetation_pasturegrass_Morven_20230327_153031.asd,"March 27 2023, pasture flower, morven",2023-03-27 15:30:31,vegetation,pasturegrass,NA,NA,FL,NA,NA,Morven,20230327_153031,18820,vegetation_pasturegrassPF_100004.asd
UPWINS_vegetation_timothy_Morven_20230710_090546.asd,early-season-growth,2023-07-10 09:05:46,vegetation,timothy,NA,NA,L,RE,NA,Morven,20230710_090546,19089,vegetation_timothy_leaf_00000.asd
UPWINS_vegetation_timothy_Morven_20230710_090641.asd,early-season-growth,2023-07-10 09:06:41,vegetation,timothy,NA,NA,L,RE,NA,Morven,20230710_090641,19089,vegetation_timothy_leaf_00001.asd
UPWINS_vegetation_timothy_Morven_20230710_090850.asd,early-season-growth,2023-07-10 09:08:50,vegetation,timothy,NA,NA,L,RE,NA,Morven,20230710_090850,19089,vegetation_timothy_leaf_00002.asd
UPWINS_vegetation_timothy_Morven_20230710_091002.asd,early-season-growth,2023-07-10 09:10:02,vegetation,timothy,NA,NA,S,RE,NA,Morven,20230710_091002,19089,vegetation_timothy_seedhead_00000.asd
UPWINS_vegetation_timothy_Morven_20230710_091018.asd,early-season-growth,2023-07-10 09:10:18,vegetation,timothy,NA,NA,S,RE,NA,Morven,20230710_091018,19089,vegetation_timothy_seedhead_00001.asd
UPWINS_vegetation_timothy_Morven_20230710_091041.asd,early-season-growth,2023-07-10 09:10:41,vegetation,timothy,NA,NA,S,RE,NA,Morven,20230710_091041,19089,vegetation_timothy_seedhead_00002.asd
UPWINS_vegetation_timothy_Morven_20230710_091102.asd,early-season-growth,2023-07-10 09:11:02,vegetation,timothy,NA,NA,S,RE,NA,Morven,20230710_091102,19089,vegetation_timothy_seedhead_00003.asd
UPWINS_vegetation_soybean_Morven_20230710_091905.asd,early-season-growth,2023-07-10 09:19:05,vegetation,soybean,NA,NA,L,RE,NA,Morven,20230710_091905,19089,vegetation_soybean_leaf_00000.asd
UPWINS_vegetation_soybean_Morven_20230710_091919.asd,early-season-growth,2023-07-10 09:19:19,vegetation,soybean,NA,NA,L,RE,NA,Morven,20230710_091919,19089,vegetation_soybean_leaf_00001.asd
UPWINS_vegetation_soybean_Morven_20230710_091937.asd,early-season-growth,2023-07-10 09:19:37,vegetation,soybean,NA,NA,L,RE,NA,Morven,20230710_091937,19089,vegetation_soybean_leaf_00002.asd
UPWINS_vegetation_soybean_Morven_20230710_092013.asd,early-season-growth_rust,2023-07-10 09:20:13,vegetation,soybean,NA,NA,L,RE,R,Morven,20230710_092013,19089,vegetation_soybean_leaf_00003.asd
UPWINS_vegetation_soybean_Morven_20230710_092029.asd,early-season-growth_rust,2023-07-10 09:20:29,vegetation,soybean,NA,NA,L,RE,R,Morven,20230710_092029,19089,vegetation_soybean_leaf_00004.asd
UPWINS_vegetation_soybean_Morven_20230710_092042.asd,early-season-growth_rust,2023-07-10 09:20:42,vegetation,soybean,NA,NA,L,RE,R,Morven,20230710_092042,19089,vegetation_soybean_leaf_00005.asd
UPWINS_vegetation_soybean_Morven_20230710_092122.asd,early-season-growth,2023-07-10 09:21:22,vegetation,soybean,NA,NA,L,RE,NA,Morven,20230710_092122,19089,vegetation_soybean_leaf_00006.asd
